text,labels
"Stefan Mittnik (born November 29, 1954) is a German economist, currently holds the Chair of Financial Econometrics at the Ludwig Maximilians University of Munich. He is a fellow of the Center for Financial Studies and known for his work on financial market and financial risk modeling as well as macroeconometrics. He is also a co-founder of the German-British robo-advisor Scalable Capital.",Economist
"Wayne Arthur Rosenthal was a Republican member of the Illinois House of Representatives from January 2011 until his resignation in January 2015 to head the Illinois Department of Natural Resources. Rosenthal had a bachelor's degree in math from the University of Illinois-Springfield. He spent his career running a family farm, and was a brigadier general in the Illinois National Guard. Prior to his election to the General Assembly he served as a trustee of Lincoln Land Community College. Rosenthal and his wife Marcia are the parents of three children.",OfficeHolder
"Georges Albert Maurice Victor Bataille (French: [ʒɔʁʒ batɑj]; 10 September 1897 – 9 July 1962) was a French intellectual and literary figure working in literature, philosophy, anthropology, economics, sociology and history of art. His writing, which included essays, novels, and poetry, explored such subjects as eroticism, mysticism, surrealism, and transgression. His work would prove influential on subsequent schools of philosophy and social theory, including poststructuralism.",Philosopher
"Andree Layton Roaf (March 31, 1941 – July 1, 2009) was an Arkansas lawyer and jurist. She was the first African-American woman to serve on the Arkansas Supreme Court, and is the mother of former NFL offensive lineman Willie Roaf.",Judge
"Millison K Narh is a Ghanaian banker and chartered accountant, who since 2009 has been deputy governor of the Bank of Ghana.",OfficeHolder
"Adolf Krischanitz (born May 26, 1946) is an Austrian-born architect.",Architect
Nathan Korn (1893-1941) was an American architect and builder in New York City.,Architect
Kuan-Lien Chen (Chinese Traditional: 寬陳連) is a Taiwanese beauty pageant titleholder who was crowned as Miss Earth Chinese Taipei 2014 that gives her the right to represent Chinese Taipei at Miss Earth 2014.,BeautyQueen
"Patrick J. Monahan (born June 10, 1954) is the Deputy Attorney General for the Province of Ontario. He was previously the Vice President Academic and Provost at York University in Toronto, Canada, as well as an Affiliated Scholar with the law firm Davies Ward Phillips & Vineberg LLP. From 2003 until July 2009, Monahan was the Dean of Osgoode Hall Law School at York University. He has written extensively on constitutional reform and public policy, and served as Senior Policy Advisor to former Ontario Premier David Peterson as well as former Ontario Attorney General Ian Scott during the Meech Lake Accord negotiations from 1987-1990. He has appeared as legal counsel in major public law litigation at the Supreme Court of Canada as well as in lower courts. He is a frequent commentator on constitutional and public policy issues in the national media. He received his LL.B. degree from Osgoode Hall Law School at York University, where he graduated as Gold Medalist, and an LL.M. degree from Harvard University.",Philosopher
"Thomas Ernest \""Tom\"" Woods, Jr. (born August 1, 1972) is an American historian, political commentator, author, and podcaster. Woods is a New York Times Best-Selling author and has published twelve books. He has written extensively on the subjects including the history of the United States, catholicism, contemporary politics, and economics. Woods is proponent of the Austrian school of economics, although not an economist himself.",Economist
"Peter Julian Millett, Baron Millett, PC, QC (born 23 June 1932) is a non-permanent judge of the Hong Kong Court of Final Appeal and a former Lord of Appeal in Ordinary and barrister of the United Kingdom. The son of Denis and Adele Millett, he was educated at Harrow School, London, and at Trinity Hall, Cambridge, where he received a Master of Arts degree in classics and law in 1954. From 1955 to 1957 he served as a Flying Officer in the Royal Air Force. He was awarded an Honorary Fellowship by Queen Mary, University of London in 2012. Millett was called to the Bar at Middle Temple in 1955. In 1959, he came to Lincoln's Inn, where he was appointed a Bencher in 1980. From 1958 to 1986 he practised at the Chancery Bar and was examiner and lecturer in practical conveyancing at the Council of Legal Education from 1962 to 1976. Between 1967 and 1973, Millett was junior counsel at the Department of Trade and Industry in chancery matters, and between 1971 and 1975 member of the General Council of the Bar. He was a member of the Law Commission working party on co-ownership of the matrimonial home in 1972 and 1973 and appointed a Queen's Counsel in the following year. From 1977 to 1982, Millett was member of the Department of Trade Insolvency Law Review Committee. In 1986, he became a judge of the High Court of Justice and was knighted. He was appointed a Lord Justice of Appeal and a member of the Privy Council in 1994. On 1 October 1998, he was appointed as a Lord of Appeal in Ordinary, receiving additionally a life peerage with the title Baron Millett, of St Marylebone in the City of Westminster. He retired as a Lord of Appeal in Ordinary in January 2004. He has been a Non-permanent Judge of the Hong Kong Court of Final Appeal since 2000. From 1991 to 1995, he was President of the West London Synagogue. He is an active Freemason, and served for five years as Metropolitan Grand Master of London from the inception of the new Metropolitan Grand Lodge in 2003. In this capacity he supervised more than 1,200 Masonic Lodges in London, and more than 600 associated Chapters of Royal Arch Masons. Millett is well known for his judgment in the House of Lords in the wrongful birth case of McFarlane v Tayside Health Board where a couple were denied recovery of damages for the cost of bringing up an unwanted child, born as a result of a negligently performed vasectomy. He concluded that \""the law must take the birth of a normal, healthy baby to be a blessing, not a detriment.\"" In addition, in a dissenting opinion, he concluded that damages could not be awarded for the pain and distress of pregnancy and delivery but rather that a small sum should be awarded to reflect that the parents had \""lost the freedom to limit the size of their family\"" and thus had been \""denied an important aspect of their personal autonomy.\"" Millett also wrote on Villainy, Money Loops and Identity Theft University of Queensland Press. Published: 15 March 2007. Audience Guide: Tertiary Education (US: College), Professional & Vocational.Paperback. Millett has been married to Ann Mireille Harris since 1959. They have two sons and five grandchildren. In 2015, Millett was awarded the Gold Bauhinia Star by the Chief Executive of Hong Kong.",Judge
"Robert Henry Lawrence Jr. (October 2, 1935 – December 8, 1967) was a United States Air Force officer and the first African-American astronaut.",Astronaut
"Marianela Salazar Guillén (born c. 1978), is a Panamanian model and beauty pageant contestant. She is the winner of the title Señorita Panamá-Miss Asia Pacific 1999 in the contest Señorita Panamá 1999  and 1st Runner-Up in the Miss Asia Pacific 2000. She also competed in the Reinado Internacional del Café 2000 finishing as 1st Runner-Up celebrate in Manizales, Colombia.The same year she competed in the Miss Mesoamerica 2000 contest finishing second Runner-Up.",BeautyQueen
"Wyatt & Nolting was an architectural partnership of James Bosley Noel Wyatt (1847–1926) and William G. Nolting (1866–1940). The partnership completed numerous works that are listed on the U.S. National Register of Historic Places: \n* Victor Cullen Center, Old Administration Building, Victor Cullen Center Campus, Sabillasville, MD, (Wyatt & Nolting) \n* Victor Cullen School Power House, MD 81, Sabillasville, MD, (Wyatt & Nolting) \n* Fifth Regiment Armory, 210—247 W. Hoffman St., Baltimore, MD, (Wyatt & Nolting) \n* Garrett Building, 233-239 Redwood St., Baltimore, MD, (Wyatt & Nolting) \n* Liriodendron, 501 and 502 W. Gordon St., Bel Air, MD, (Wyatt & Nolting) \n* Old Norfolk City Hall, 235 E. Plume St., Norfolk, VA, (Wyatt & Nolting) \n* Pikesville Armory, 610 Reisterstown Rd., Pikesville, MD, (Wyatt & Nolting) \n* Virginia Bank and Trust Building, 101 Granby St., Norfolk, VA, (Wyatt & Nolting) \n* One or more works in Clifton Park, Bounded by Hartford Rd., Erdman Ave., Clifton Park Terrace, the Baltimore Belt RR and Sinclair Ln., Baltimore, MD, (Niersee & Neilson; Wyatt and Nolting)",Architect
"Lawrence Antony Collins, Baron Collins of Mapesbury, PC, FBA (born 7 May 1941), is a British judge and former Justice of the Supreme Court of the United Kingdom. He was also appointed to the Court of Final Appeal of Hong Kong on 11 April 2011 as a non-permanent judge from other common law jurisdictions. He was formerly a partner in the British law firm Herbert Smith. He is now a member of Essex Court Chambers and an Adjunct Professor of Law at NYU School of Law.",Judge
"Private John M. Steele (November 29, 1912 in Metropolis, Illinois – May 16, 1969 in Fayetteville, NC) was the American paratrooper who landed on the pinnacle of the church tower in Sainte-Mère-Église, the first village in Normandy liberated by the United States Army on D-Day, June 6, 1944.",MilitaryPerson
"Mustafa Polutak (born 1 January 1946) is a former soldier in the Bosnian Army during the Bosnian War. Primary and Secondary Schools completed in Goražde. He completed the Military Academy direction of the Ordnance in Belgrade and Sarajevo between 1966 and 1970. Between 1980 and 1982, he completed command and staff of Academy in Belgrade (MA). Decision of the Presidency of RBiH 1997. promoted in rank of Brigadier general. Retired in 2000. Of 2002. led the Association for the Protection of the achievements of the struggle for Bosnia and Herzegovina.Published several scientific articles in the journal \""KORAK\"". Participated in several scientific meetings from which the articles published in magazines and brochures. Author of the book: \""Kako smo branili Bosnu i Hercegovinu\"" (How we defended Bosnia and Herzegovina).",MilitaryPerson
"Egerton Swartwout (March 3, 1870 – February 18, 1943) was an American architect, most notably associated with the New York architectural firm Tracy and Swartwout. His buildings, numbering over 100, were typically in the Beaux-Arts style.",Architect
"Ernesto del Mar Pernia (born December 30, 1943) is a Filipino economist, writer and professor emeritus at the University of the Philippines School of Economics. He is the current Director-General of the National Economic and Development Authority (NEDA), a Philippine government agency responsible for the country's economic development and planning. A former lead economist of the Asian Development Bank, he also serves as the Secretary for Socioeconomic Planning under the administration of President Rodrigo Duterte.",OfficeHolder
"Naureen Marie Zaim (born February 19, 1978) is an American model, actress, artist, and boxer. She is of mixed Irish and Pakistani descent. Her acting career includes roles in Wedding Crashers, and athletic performances in Perfect 10 Model Boxing. In mid-2004, Zaim was scouted by a photographer for 'model boxing' company Perfect 10 Model - a boxing competition for women with 'admirable' breasts. Although known for modeling, boxing, and acting, Naureen also holds two degrees in Fine Art for painting and glass-blowing. Her athleticism also transcends boxing to include fast-pitch softball, tennis, and pool. She has appeared in several publications, including Maxim, Stuff Magazine, Thirteen Minutes Magazine, and Perfect 10 magazine.",Model
"Tadibast (or Tadibastet) III was an ancient Egyptian queen consort during the late Third Intermediate Period, around the second half of the 8th century BCE.",Monarch
"Siegfried Knappe (15 January 1917 – 1 December 2008) was an officer in the German Army (Heer) during World War II. Towards the end of the war, Knappe was stationed in Berlin, where he gave daily briefings at the Führerbunker.",MilitaryPerson
"Jack L. Rives (born 1952) is the Executive Director and Chief Operating Officer of the American Bar Association, and a former TJAG (\""The Judge Advocate General\"") of the United States Air Force Judge Advocate General's Corps. In 2008, he became the first Judge Advocate General in any service to hold the rank of Lieutenant general. He served in the U.S. Air Force from 1977 until 2010.",MilitaryPerson
"Philip II of Macedon (Greek: Φίλιππος Β΄ ὁ Μακεδών, Phílippos II ho Makedṓn; 382–336 BC) was the king (Basileus) of the Ancient Greek kingdom of Macedon from 359 BC until his assassination in 336 BC. He was a member of the Argead dynasty, the third son of King Amyntas III, and father of Alexander the Great and Philip III.",Monarch
Sheryl Handler was one of the founders of Thinking Machines and is the founder and current CEO of Ab Initio.,BusinessPerson
"Cathy Vitale (born 13 August 1964) is a Circuit Court Judge for Anne Arundel County, Maryland. A Republican, she represented District 33A in the Maryland House of Delegates from January 12, 2011 to February 23, 2015, resigning to serve on the bench. She was a member of the Anne Arundel County Council representing District 5 from February 2000 to December 6, 2010. She is a graduate of the University of Maryland (1985) and the University of Baltimore School of Law (1989).",Judge
"Timur Shah Durrani, (Pashto, Persian, Urdu, Arabic: تیمور شاہ درانی ; 1748 – May 18, 1793) was the second ruler of the Durrani Empire, from October 16, 1772 until his death in 1793. An ethnic Pashtun, he was the second and eldest son of Ahmad Shah Durrani.",Monarch
"Stephen W Williams or Stephen Williams  (1837–1899) was a civil engineer and architect who worked mainly in Radnorshire and Breconshire, Wales. He was County Surveyor of Radnorshire from 1864–1899. He had offices at Rhayader and lived at Penralley House, Rhayader, He became a noted authority on the archaeology of the Cistercian Monasteries in Wales and undertook excavations at Strata Florida Abbey in Ceredigion, Abbey Cwm Hir in Radnorshire and Strata Marcella near Welshpool in Montgomeryshire. He was appointed High Sheriff of Radnorshire in 1899.",Architect
"Waheed Arshad, HI(M), TBt, afwc, fsc(t), psc, is a retired three-star general in the Pakistan Army who served as the Chief of General Staff (CGS) at the General Headquarters from 2010 to 2013. His previous appointments at the GHQ include; IG Training and Evaluation (IGT&E), Vice Chief of General Staff (VCGS) and DG Planning at COAS Secretariat. Arshad also served as the chief Army spokesman heading the Inter Services Public Relations from 2007 to 2008.",MilitaryPerson
"Trivimi Velliste (born 4 May 1947, in Tartu, Estonia) is an Estonian politician who served as Minister of Foreign Affairs from 1992 to 1994 and as the Estonian Ambassador to the United Nations from 1994 to 1998. He currently is a Member of Parliament in the Riigikogu representing the Pärnumaa Electoral District. Velliste is considered one of the leading forces behind the liberation of the Baltic States. His fight for Estonian identity as a foundation for the struggle to gain independence was an affront to the Russians and was conducted at great personal risk. Velliste deliberately encouraged the drive for national and political freedom. In accordance with his beliefs, he founded a society for the protection of Estonian historical monuments. Velliste considered knowledge of the past to be a necessity in the fight for elementary human rights on the road to self-government and self-confidence. In 1988, Mr Velliste was awarded the second Rafto Prize.",OfficeHolder
"Jim Axelrod is a National Correspondent and reporter for CBS News, and reports for all CBS News programs. Axelrod was one of CBS News' embedded correspondents in Iraq and was the first TV reporter to broadcast live from Saddam International Airport (now Baghdad International Airport) after its takeover by American forces. Axelrod was born in New Brunswick, New Jersey. Raised in Highland Park, New Jersey, he attended Highland Park High School. He received a B.A. in 1985 from Cornell University in history and an M.A. in 1989 from Brown University, also with a major in history. Axelrod resides in Montclair, New Jersey, with his wife and their three children.",Journalist
"Kristie Anne Kenney is the Counselor of the United States Department of State and a Career Ambassador in the United States Foreign Service. She previously served as the United States Ambassador to the Republic of Ecuador, as United States ambassador to the Philippines, and most recently as United States Ambassador to Thailand. She is the first female U.S. ambassador to the latter two countries. Kenney holds a masters degree in Latin American studies from Tulane University and a bachelor's degree in political science from Clemson University.",Ambassador
"Jane Martinson (born 1967) is a British journalist who is the Head of Media for Guardian News and Media, responsible for the coverage of the media in the The Guardian newspaper and the website. Martinson was educated at Christ's College, Cambridge, where she read English. Martinson studied Journalism at the City University in London before beginning her career on the South Wales Echo. in 1991. She joined the Financial Times in 1993. After a period working as the FT's Wall Street correspondent she joined The Guardian in May 1999, remaining in New York as the US business editor. She became the news editor for the City coverage of The Guardian when she returned to London in 2002, and then media business editor in January 2004. Martinson was appointed as The Guardian's media editor in 2007, and assumed the post in January 2008 after returning from maternity leave. She became women's editor in 2010, and set up the newspaper's blog on women's issues. She assumed her current post in September 2014. Martinson is a committee member of Women in Journalism, and was the organisation's chair until late in 2013.",Journalist
"William Cushing (March 1, 1732 – September 13, 1810) was one of the original six Associate Justices of the United States Supreme Court, from its inception to his death. He was the longest-serving of the Court's original members, sitting on the bench for 21 years. Had he accepted George Washington's appointment, he would have become the third Chief Justice of the United States. He was also the last judge in the United States to wear a full wig (Court dress).",Judge
"Inés María Calero Rodríguez is a Venezuelan pageant titleholder who was 1987, and was the official representative of Venezuela to the Miss Universe 1987 pageant held in Singapore on May 26, 1987, when she won the title of 3rd Runner Up.",BeautyQueen
"Vivian Charlott Burkhardt (born January 24, 1986) is a beauty queen who represented Grenada in Miss World 2007 in Sanya, People's Republic of China, where she placed as one of the semi-finalists. Having graduated from The TA Marryshow Community College with an Associate Degree in Natural Science, she has completed her studies as a pre-med student at St. George's University. She received her bachelor's degree in Basic Medical Science, and completed her MD at St. George's University. Vivian, who is half Grenadian and half German, was born in Germany and moved to the island of Grenada when she was 15 years old. She is fluent in German and English and knows some French. Among her major interests are alternative energy and the environment.",BeautyQueen
"Thomas Boyne (1849 – April 21, 1896) was a Buffalo Soldier in the United States Army and a recipient of America's highest military decoration—the Medal of Honor—for his actions in the Indian Wars of the western United States. In 1879, Boyne was serving as a Sergeant in Company C of the 9th Cavalry Regiment in New Mexico. He was cited for \""[b]ravery in action\"" at the Mimbres Mountains on May 29, 1879, and at the Cuchillo Negro River near Ojo Caliente on September 27, 1879. For those actions, Sergeant Boyne was awarded the Medal of Honor on January 6, 1882. He retired from the army in 1889. Boyne died in 1896 and was buried at the United States Soldiers' and Airmen's Home National Cemetery in Washington, D.C.",MilitaryPerson
"Raganar (Reginar, Reiner) (d. 8 October 876), Frankish Count. Raganar was a vassal of Charles the Bald and fought in many of Charles' campaigns. The precise counties that Raganar ruled are uncertain but are known to have been south of Thérouanne. In the Capitulary of Servais, part of District (Missaticum) 4 is identified as \""the counties of Reginar\"". This district, with Thérouanne as its capital and bishopric, stretched south for about 100 km. These counties are most certainly be those of Raganar. Because of the locality of District 4 and the uncertainty of rule in the 9th century, it is likely that these counties included part of Hesbaye. Raganar participated in Charles' 876 campaign against his nephew Louis the Younger. He was standard-bearer during the Battle of Andernach, where he was killed along with a Count Jerome. Numerous other counts as well as Bishop Gauzlin were captured. Onomastics would suggest that Raganar was somehow related to Count Meginhere (whose son Reginar was executed in 818 for treason) and Gilbert, Count of the Maasgau, father of the founder of the House of Reginar.",Noble
"Pier Paolo Maggiora, is an Italian architect.",Architect
"Jack Moline (born August 10, 1952) is an American Conservative rabbi who has served as Executive Director of Interfaith Alliance since January 2015. He is a former director of the National Jewish Democratic Council, and prior to that appointment, served as rabbi of Agudas Achim Congregation in Alexandria, Virginia since 1987 and Director of Public Policy for the Rabbinical Assembly since 2009,. His current appointment with Interfaith Alliance follows involvement with the organization over a period of many years, including service as Chair of the Board. In 2008, he was named by Newsweek magazine as one of the top pulpit rabbis in America (#3 in a list of 25), and in 2010 and 2011 as one of the 50 most influential rabbis in America. He has served in numerous leadership positions for Jewish, interfaith, and community organizations, and has advised key religious and political leaders of the United States on issues of religion and values. In 1995, he helped write President Bill Clinton's famous \""Shalom, Haver\"" eulogy for Israeli Prime Minister Yitzhak Rabin.",Religious
"Charles Goodyear (December 29, 1800 – July 1, 1860) was an American self-taught chemist and manufacturing engineer who developed vulcanized rubber, for which he received patent number 3633 from the United States Patent Office on June 15, 1844. Though Goodyear is often credited with the invention of vulcanized rubber, modern evidence has proven that the Mesoamericans used stabilized rubber for balls and other objects as early as 1600 BC., and Thomas Hancock had a patent pending for a vulcanization process 8 weeks before Goodyear. Goodyear's discovery of the vulcanization process was accidental, after five years of searching for a more stable rubber and stumbling upon the effectiveness of heating after Thomas Hancock.",Engineer
"Askia Muhammad is a poet, journalist, radio producer, commentator, and photojournalist. He has been multiply awarded by the National Association of Black Journalists for his work on National Public Radio, with first place \""Salute to Excellence\"" awards for his commentaries on \""Mississippi and My Memories\"" and \""Mike Tyson: Check Yourself\"" and a third place \""Salute to Excellence\"" award for \""Ethel Payne Postage Stamp\"". He has served as the editor of Muhammad Speaks and as the head of the Washington office of The Final Call, the official newspapers of the Nation of Islam. He has worked as a commentator for National Public Radio and a columnist for Washington Informer. He is the author of the book Behind Enemy Lines.",Journalist
"Derek John Wilson (4 July 1922 – 10 June 2016) was a New Zealand architect. He was active in Wellington. He was also known as an environmentalist, and published several works.",Architect
"Jasmine Lennard (born July 25, 1985) is an English reality television personality best known for appearing as a contestant on Make Me a Supermodel and Trust Me – I'm A Holiday Rep in 2005 and Celebrity Big Brother 10 in 2012.",Model
"Dr. Abiodun Williams (born 1961 in Freetown, Sierra Leone) is the first President of The Hague Institute for Global Justice in The Hague, Netherlands and a noted academic in conflict prevention, peacekeeping, and conflict management. He was formerly a senior official at the United Nations.",OfficeHolder
"Daniel Kahikina Akaka (/əˈkɑːkə/; born September 11, 1924) is an American politician who was a United States Senator from Hawaii from 1990 to 2013. A member of the Democratic Party, Akaka was the first U.S. Senator of Native Hawaiian ancestry. Born in Honolulu, he served in the U.S. Army Corps of Engineers during World War II. He attended the University of Hawaii, where he received his bachelor's and master's degrees. Originally a high school teacher, he went on to serve as a principal for six years. In 1969, he was hired by the Department of Education as a chief program planner. In the 1970s, he served in various governmental positions. He was first elected to the United States House of Representatives in 1976 to represent Hawaii's Second Congressional District, and he served for 13 years. In 1990, he was appointed to the U.S. Senate to succeed the deceased Spark Matsunaga. Akaka would later be re-elected to three full terms. In March 2011, he announced that he would not run for re-election in 2012. After fellow senator Daniel Inouye died on December 17, 2012, Akaka became the state's senior senator, and remained so briefly until he left office on January 3, 2013. He was succeeded by fellow Democrat Mazie Hirono.",OfficeHolder
"Melissa Donovan d’Arabian (born October 1, 1968) is an American chef and television show host. She won the fifth season of Food Network Star in 2009. Following her victory, she went on to host Ten Dollar Dinners on Food Network.",Chef
"Marvin Herman Shoob (born February 23, 1923) is a United States federal judge. Born in Walterboro, South Carolina, Shoob was in the United States Army during World War II, from 1942 to 1945, becoming a Sergeant. He received a J.D. from the University of Georgia School of Law in 1948. He was in private practice in Atlanta, Georgia from 1948 to 1979. On June 5, 1979, Shoob was nominated by President Jimmy Carter to a new seat on the United States District Court for the Northern District of Georgia created by 92 Stat. 1629. He was confirmed by the United States Senate on July 23, 1979, and received his commission on July 24, 1979. He assumed senior status on September 30, 1991.",Judge
"Fátima Idubina Rivas Opico (born in August 4, 1994) is a Salvadorian model and beauty pageant titleholder who was appointed Miss Universe El Salvador 2015 and the winner of Reinado de El Salvador in 2013. She represented her country at the Miss Universe 2015 pageant.",BeautyQueen
"Whitney Duncan MacMillan (July 5, 1930 - October 31, 2006) was an American businessman, a director of Cargill.",BusinessPerson
